Iteration,Walker_Type,Walker_ID,Step,x0,x1
10,turtle,0,6,2,2
10,turtle,1,6,1,1
10,turtle,2,6,3,3
10,turtle,3,6,0,0
10,turtle,4,6,2,0
10,rabbit,5,6,1,1
10,turtle,0,7,3,2
10,turtle,1,7,2,1
10,turtle,2,7,2,3
10,turtle,3,7,0,1
10,turtle,4,7,1,0
10,rabbit,5,7,3,1
10,turtle,0,8,3,3
10,turtle,1,8,1,1
10,turtle,2,8,1,3
10,turtle,3,8,0,0
10,turtle,4,8,0,0
10,rabbit,5,8,3,3
10,turtle,0,9,2,3
10,turtle,1,9,1,0
11,turtle,0,1,2,1
11,turtle,1,1,1,0
11,turtle,2,1,0,1
11,turtle,3,1,0,1
11,turtle,4,1,0,1
11,rabbit,5,1,3,1
11,turtle,0,2,1,1
11,turtle,1,2,2,0
11,turtle,2,2,1,1
11,turtle,3,2,0,0
11,turtle,4,2,0,2
11,rabbit,5,2,3,3
11,turtle,0,3,1,0
11,turtle,1,3,1,0
11,turtle,2,3,0,1
11,turtle,3,3,0,1
11,turtle,4,3,0,1
11,rabbit,5,3,3,1
11,turtle,0,4,1,1
11,turtle,1,4,2,0
11,turtle,2,4,1,1
11,turtle,3,4,1,1
11,turtle,4,4,0,0
11,rabbit,5,4,3,3
11,turtle,0,5,0,1
11,turtle,1,5,1,0
11,turtle,2,5,2,1
11,turtle,3,5,0,1
11,turtle,4,5,0,1
11,rabbit,5,5,3,1
11,turtle,0,6,1,1
11,turtle,1,6,0,0
11,turtle,2,6,1,1
11,turtle,3,6,0,0
11,turtle,4,6,0,2
11,rabbit,5,6,3,3
11,turtle,0,7,1,0
11,turtle,1,7,0,1
11,turtle,2,7,2,1
11,turtle,3,7,0,1
11,turtle,4,7,0,1
11,rabbit,5,7,1,3
11,turtle,0,8,2,0
11,turtle,1,8,0,2
11,turtle,2,8,1,1
11,turtle,3,8,0,0
11,turtle,4,8,0,0
12,turtle,0,1,2,1
12,turtle,1,1,2,1
12,turtle,2,1,1,0
12,turtle,3,1,2,1
12,turtle,4,1,1,0
12,rabbit,5,1,3,1
12,turtle,0,2,1,1
12,turtle,1,2,3,1
12,turtle,2,2,1,1
12,turtle,3,2,1,1
12,turtle,4,2,0,0
12,rabbit,5,2,3,3
12,turtle,0,3,2,1
12,turtle,1,3,3,2
12,turtle,2,3,0,1
12,turtle,3,3,1,0
12,turtle,4,3,1,0
12,rabbit,5,3,1,3
12,turtle,0,4,2,2
12,turtle,1,4,3,3
12,turtle,2,4,0,0
12,turtle,3,4,2,0
12,turtle,4,4,0,0
13,turtle,0,1,0,1
13,turtle,1,1,0,1
13,turtle,2,1,0,1
13,turtle,3,1,0,1
13,turtle,4,1,0,1
13,rabbit,5,1,3,1
13,turtle,0,2,0,2
13,turtle,1,2,0,0
13,turtle,2,2,0,2
13,turtle,3,2,1,1
13,turtle,4,2,0,0
13,rabbit,5,2,3,3
13,turtle,0,3,0,1
13,turtle,1,3,1,0
13,turtle,2,3,0,1
13,turtle,3,3,2,1
13,turtle,4,3,1,0
13,rabbit,5,3,1,3
13,turtle,0,4,0,0
13,turtle,1,4,0,0
13,turtle,2,4,0,0
13,turtle,3,4,1,1
13,turtle,4,4,2,0
14,turtle,0,1,1,0
14,turtle,1,1,1,0
14,turtle,2,1,2,1
14,turtle,3,1,1,0
14,turtle,4,1,2,1
14,rabbit,5,1,3,1
14,turtle,0,2,2,0
14,turtle,1,2,0,0
14,turtle,2,2,2,2
14,turtle,3,2,1,1
14,turtle,4,2,3,1
14,rabbit,5,2,3,3
14,turtle,0,3,1,0
14,turtle,1,3,1,0
14,turtle,2,3,2,3
14,turtle,3,3,1,0
14,turtle,4,3,2,1
14,rabbit,5,3,3,1
14,turtle,0,4,1,1
14,turtle,1,4,0,0
14,turtle,2,4,3,3
14,turtle,3,4,0,0
14,turtle,4,4,3,1
14,rabbit,5,4,1,1
14,turtle,0,5,1,0
14,turtle,1,5,0,1
14,turtle,2,5,2,3
14,turtle,3,5,0,1
14,turtle,4,5,2,1
14,rabbit,5,5,3,1
14,turtle,0,6,2,0
14,turtle,1,6,0,0
14,turtle,2,6,3,3
14,turtle,3,6,0,2
14,turtle,4,6,1,1
14,rabbit,5,6,3,3
14,turtle,0,7,1,0
14,turtle,1,7,0,1
14,turtle,2,7,3,2
14,turtle,3,7,0,1
14,turtle,4,7,1,0
14,rabbit,5,7,3,1
14,turtle,0,8,0,0
14,turtle,1,8,0,2
14,turtle,2,8,2,2
14,turtle,3,8,0,2
14,turtle,4,8,1,1
14,rabbit,5,8,3,3
14,turtle,0,9,1,0
14,turtle,1,9,0,1
14,turtle,2,9,2,3
14,turtle,3,9,0,1
14,turtle,4,9,1,0
14,rabbit,5,9,3,1
14,turtle,0,10,1,1
14,turtle,1,10,0,0
14,turtle,2,10,3,3
14,turtle,3,10,0,0
14,turtle,4,10,0,0
14,rabbit,5,10,1,1
14,turtle,0,11,1,0
14,turtle,1,11,1,0
14,turtle,2,11,3,2
14,turtle,3,11,1,0
14,turtle,4,11,0,1
14,rabbit,5,11,3,1
14,turtle,0,12,2,0
14,turtle,1,12,1,1
14,turtle,2,12,2,2
14,turtle,3,12,1,1
14,turtle,4,12,1,1
14,rabbit,5,12,1,1
14,turtle,0,13,1,0
14,turtle,1,13,2,1
14,turtle,2,13,3,2
14,turtle,3,13,1,0
14,turtle,4,13,2,1
14,rabbit,5,13,3,1
14,turtle,0,14,1,1
14,turtle,1,14,3,1
14,turtle,2,14,3,3
14,turtle,3,14,0,0
14,turtle,4,14,3,1
14,rabbit,5,14,3,3
14,turtle,0,15,1,0
14,turtle,1,15,2,1
14,turtle,2,15,2,3
14,turtle,3,15,1,0
14,turtle,4,15,3,2
14,rabbit,5,15,3,1
14,turtle,0,16,2,0
14,turtle,1,16,1,1
14,turtle,2,16,1,3
14,turtle,3,16,1,1
14,turtle,4,16,2,2
14,rabbit,5,16,3,3
14,turtle,0,17,1,0
14,turtle,1,17,1,0
15,turtle,0,1,1,0
15,turtle,1,1,1,0
15,turtle,2,1,0,1
15,turtle,3,1,2,1
15,turtle,4,1,1,0
15,rabbit,5,1,3,1
15,turtle,0,2,0,0
15,turtle,1,2,2,0
15,turtle,2,2,0,0
15,turtle,3,2,2,2
15,turtle,4,2,1,1
15,rabbit,5,2,1,1
15,turtle,0,3,1,0
15,turtle,1,3,1,0
15,turtle,2,3,0,1
15,turtle,3,3,2,3
15,turtle,4,3,0,1
15,rabbit,5,3,3,1
15,turtle,0,4,1,1
15,turtle,1,4,1,1
15,turtle,2,4,0,0
15,turtle,3,4,1,3
15,turtle,4,4,0,2
15,rabbit,5,4,1,1
15,turtle,0,5,0,1
15,turtle,1,5,0,1
15,turtle,2,5,1,0
16,turtle,0,1,2,1
16,turtle,1,1,0,1
16,turtle,2,1,2,1
16,turtle,3,1,1,0
16,turtle,4,1,1,0
16,rabbit,5,1,3,1
16,turtle,0,2,3,1
16,turtle,1,2,1,1
16,turtle,2,2,3,1
16,turtle,3,2,0,0
16,turtle,4,2,1,1
16,rabbit,5,2,1,1
16,turtle,0,3,2,1
16,turtle,1,3,1,0
16,turtle,2,3,2,1
16,turtle,3,3,1,0
16,turtle,4,3,0,1
16,rabbit,5,3,3,1
16,turtle,0,4,1,1
16,turtle,1,4,1,1
16,turtle,2,4,1,1
16,turtle,3,4,0,0
16,turtle,4,4,0,0
16,rabbit,5,4,3,3
16,turtle,0,5,1,0
16,turtle,1,5,0,1
16,turtle,2,5,0,1
16,turtle,3,5,0,1
16,turtle,4,5,1,0
16,rabbit,5,5,1,3
16,turtle,0,6,0,0
16,turtle,1,6,0,0
16,turtle,2,6,0,2
16,turtle,3,6,0,0
16,turtle,4,6,2,0
17,turtle,0,1,1,0
17,turtle,1,1,2,1
17,turtle,2,1,1,0
17,turtle,3,1,2,1
17,turtle,4,1,2,1
17,rabbit,5,1,3,1
17,turtle,0,2,0,0
17,turtle,1,2,3,1
17,turtle,2,2,1,1
17,turtle,3,2,1,1
17,turtle,4,2,1,1
17,rabbit,5,2,3,3
17,turtle,0,3,1,0
17,turtle,1,3,2,1
17,turtle,2,3,1,0
17,turtle,3,3,1,0
17,turtle,4,3,0,1
17,rabbit,5,3,1,3
17,turtle,0,4,1,1
17,turtle,1,4,2,2
17,turtle,2,4,0,0
17,turtle,3,4,1,1
17,turtle,4,4,1,1
18,turtle,0,1,0,1
18,turtle,1,1,1,0
18,turtle,2,1,0,1
18,turtle,3,1,0,1
18,turtle,4,1,0,1
18,rabbit,5,1,3,1
18,turtle,0,2,1,1
18,turtle,1,2,0,0
18,turtle,2,2,0,0
18,turtle,3,2,0,2
18,turtle,4,2,1,1
18,rabbit,5,2,1,1
18,turtle,0,3,1,0
18,turtle,1,3,1,0
18,turtle,2,3,1,0
18,turtle,3,3,0,1
18,turtle,4,3,1,0
18,rabbit,5,3,3,1
18,turtle,0,4,0,0
18,turtle,1,4,0,0
18,turtle,2,4,0,0
18,turtle,3,4,1,1
18,turtle,4,4,1,1
18,rabbit,5,4,1,1
18,turtle,0,5,0,1
18,turtle,1,5,0,1
18,turtle,2,5,1,0
18,turtle,3,5,1,0
18,turtle,4,5,2,1
18,rabbit,5,5,3,1
18,turtle,0,6,0,0
18,turtle,1,6,1,1
18,turtle,2,6,2,0
18,turtle,3,6,2,0
18,turtle,4,6,3,1
18,rabbit,5,6,1,1
18,turtle,0,7,1,0
18,turtle,1,7,1,0
18,turtle,2,7,1,0
18,turtle,3,7,1,0
18,turtle,4,7,2,1
18,rabbit,5,7,3,1
18,turtle,0,8,0,0
18,turtle,1,8,2,0
18,turtle,2,8,0,0
18,turtle,3,8,2,0
18,turtle,4,8,2,2
18,rabbit,5,8,1,1
18,turtle,0,9,1,0
18,turtle,1,9,1,0
18,turtle,2,9,1,0
18,turtle,3,9,1,0
18,turtle,4,9,1,2
18,rabbit,5,9,3,1
18,turtle,0,10,1,1
