Iteration,Walker_Type,Walker_ID,Step,x0,x1,x2
4,turtle,3,8,0,3,0
4,turtle,4,8,1,3,1
4,rabbit,5,8,2,3,0
4,turtle,0,9,2,3,1
4,turtle,1,9,1,3,0
4,turtle,2,9,1,3,2
4,turtle,3,9,0,3,1
4,turtle,4,9,0,3,1
4,rabbit,5,9,0,3,0
4,turtle,0,10,2,3,0
4,turtle,1,10,2,3,0
4,turtle,2,10,1,3,1
4,turtle,3,10,1,3,1
4,turtle,4,10,0,3,0
4,rabbit,5,10,0,3,2
4,turtle,0,11,2,3,1
4,turtle,1,11,2,3,1
4,turtle,2,11,0,3,1
4,turtle,3,11,0,3,1
4,turtle,4,11,1,3,0
4,rabbit,5,11,2,3,2
4,turtle,0,12,2,3,0
4,turtle,1,12,2,2,1
4,turtle,2,12,0,3,0
4,turtle,3,12,0,3,2
4,turtle,4,12,2,3,0
4,rabbit,5,12,0,3,2
4,turtle,0,13,1,3,0
4,turtle,1,13,2,2,2
4,turtle,2,13,1,3,0
4,turtle,3,13,1,3,2
4,turtle,4,13,2,3,1
4,rabbit,5,13,0,3,0
4,turtle,0,14,2,3,0
4,turtle,1,14,2,2,1
4,turtle,2,14,0,3,0
4,turtle,3,14,1,3,1
4,turtle,4,14,2,3,0
4,rabbit,5,14,0,3,2
4,turtle,0,15,1,3,0
4,turtle,1,15,2,3,1
4,turtle,2,15,1,3,0
4,turtle,3,15,0,3,1
4,turtle,4,15,2,3,1
4,rabbit,5,15,0,1,2
4,turtle,0,16,0,3,0
4,turtle,1,16,1,3,1
4,turtle,2,16,0,3,0
4,turtle,3,16,0,3,2
4,turtle,4,16,2,2,1
4,rabbit,5,16,0,3,2
4,turtle,0,17,0,3,1
4,turtle,1,17,2,3,1
4,turtle,2,17,0,3,1
4,turtle,3,17,0,3,3
4,turtle,4,17,2,2,2
4,rabbit,5,17,0,3,0
4,turtle,0,18,1,3,1
4,turtle,1,18,2,2,1
4,turtle,2,18,1,3,1
4,turtle,3,18,0,3,2
4,turtle,4,18,2,2,1
4,rabbit,5,18,0,3,2
4,turtle,0,19,2,3,1
4,turtle,1,19,2,2,2
4,turtle,2,19,0,3,1
4,turtle,3,19,0,3,1
4,turtle,4,19,2,2,2
4,rabbit,5,19,2,3,2
4,turtle,0,20,2,2,1
4,turtle,1,20,2,2,1
4,turtle,2,20,0,3,2
4,turtle,3,20,0,3,0
4,turtle,4,20,2,2,1
4,rabbit,5,20,0,3,2
4,turtle,0,21,2,2,0
4,turtle,1,21,2,2,0
4,turtle,2,21,0,3,1
4,turtle,3,21,0,3,1
4,turtle,4,21,2,2,0
4,rabbit,5,21,0,3,0
4,turtle,0,22,2,1,0
4,turtle,1,22,1,2,0
4,turtle,2,22,0,3,2
4,turtle,3,22,0,3,0
4,turtle,4,22,1,2,0
4,rabbit,5,22,0,3,2
4,turtle,0,23,2,2,0
4,turtle,1,23,1,2,1
4,turtle,2,23,0,3,1
4,turtle,3,23,1,3,0
4,turtle,4,23,2,2,0
4,rabbit,5,23,0,1,2
4,turtle,0,24,1,2,0
4,turtle,1,24,1,1,1
4,turtle,2,24,0,3,2
4,turtle,3,24,0,3,0
4,turtle,4,24,2,1,0
4,rabbit,5,24,2,1,2
4,turtle,0,25,1,2,1
4,turtle,1,25,0,1,1
4,turtle,2,25,0,2,2
4,turtle,3,25,1,3,0
4,turtle,4,25,3,1,0
5,turtle,0,1,2,3,1
5,turtle,1,1,1,3,0
5,turtle,2,1,1,3,0
5,turtle,3,1,1,3,0
5,turtle,4,1,1,3,0
5,rabbit,5,1,0,3,0
5,turtle,0,2,2,2,1
5,turtle,1,2,0,3,0
5,turtle,2,2,0,3,0
5,turtle,3,2,2,3,0
5,turtle,4,2,0,3,0
5,rabbit,5,2,2,3,0
5,turtle,0,3,2,2,0
5,turtle,1,3,1,3,0
5,turtle,2,3,1,3,0
5,turtle,3,3,2,3,1
5,turtle,4,3,1,3,0
5,rabbit,5,3,0,3,0
5,turtle,0,4,3,2,0
5,turtle,1,4,0,3,0
5,turtle,2,4,0,3,0
5,turtle,3,4,2,3,0
5,turtle,4,4,2,3,0
5,rabbit,5,4,2,3,0
5,turtle,0,5,2,2,0
5,turtle,1,5,0,3,1
5,turtle,2,5,1,3,0
5,turtle,3,5,1,3,0
5,turtle,4,5,1,3,0
5,rabbit,5,5,0,3,0
5,turtle,0,6,2,1,0
5,turtle,1,6,1,3,1
5,turtle,2,6,0,3,0
5,turtle,3,6,0,3,0
5,turtle,4,6,0,3,0
5,rabbit,5,6,2,3,0
5,turtle,0,7,2,0,0
5,turtle,1,7,0,3,1
5,turtle,2,7,0,3,1
5,turtle,3,7,0,3,1
5,turtle,4,7,1,3,0
5,rabbit,5,7,0,3,0
5,turtle,0,8,1,0,0
5,turtle,1,8,0,3,0
5,turtle,2,8,1,3,1
